sigma	D	ang	X_gamma_s	X_err_s	X_gamma1	X_err1	X_gamma2	X_err2	X_gamma_eff	X_p95_lo	X_p95_hi	Z_gamma_s	Z_err_s	Z_gamma1	Z_err1	Z_gamma2	Z_err2	Z_gamma_eff	Z_p95_lo	Z_p95_hi
0.085	13.0	60	0.0519	0.0006	0.0136	0.0010	0.0693	0.0016	0.0467	-0.7475	0.7890	0.0519	0.0006	0.0143	0.0008	0.0721	0.0014	0.0467	-0.7449	0.8805
0.085	20.0	0	0.0419	0.0005	0.0108	0.0004	0.0625	0.0008	0.0371	-0.2387	0.2436	0.0426	0.0005	0.0104	0.0003	0.0615	0.0008	0.0374	-0.2388	0.2430
0.085	20.0	20	0.0418	0.0005	0.0102	0.0003	0.0616	0.0008	0.0366	-0.2467	0.2443	0.0419	0.0005	0.0112	0.0004	0.0634	0.0009	0.0372	-0.2442	0.2406
0.085	20.0	40	0.0429	0.0006	0.0113	0.0005	0.0641	0.0012	0.0380	-0.2734	0.2689	0.0430	0.0006	0.0123	0.0005	0.0650	0.0012	0.0387	-0.2575	0.2697
0.085	20.0	60	0.0496	0.0006	0.0100	0.0006	0.0641	0.0010	0.0426	-4.3647	0.6364	0.0504	0.0005	0.0001	0.0000	0.0678	0.0008	0.0001	-0.4516	12.0729
0.085	30.0	0	0.0487	0.0007	0.0081	0.0003	0.0672	0.0008	0.0389	-0.2757	0.2749	0.0484	0.0007	0.0078	0.0003	0.0672	0.0008	0.0383	-0.2779	0.2740
0.085	30.0	20	0.0479	0.0008	0.0078	0.0003	0.0674	0.0008	0.0379	-0.2622	0.2655	0.0477	0.0007	0.0077	0.0003	0.0661	0.0008	0.0378	-0.2640	0.2618
0.085	30.0	40	0.0485	0.0008	0.0085	0.0004	0.0678	0.0012	0.0391	-0.2525	0.2587	0.0489	0.0008	0.0075	0.0004	0.0665	0.0010	0.0386	-0.2380	0.2870
0.085	30.0	60	0.0521	0.0003	0.0090	0.0106	0.0552	0.0013	0.0460	-7.1428	8.9359	0.0579	0.0003	NaN	NaN	NaN	NaN	NaN	-6.9204	25.7785
0.13	7.0	0	0.0499	0.0003	0.0095	0.0008	0.0549	0.0004	0.0466	-0.2516	0.2459	0.0507	0.0002	0.0083	0.0008	0.0543	0.0004	0.0474	-0.2494	0.2489
0.13	7.0	20	0.0514	0.0003	0.0075	0.0007	0.0550	0.0004	0.0477	-0.2579	0.2603	0.0510	0.0003	0.0097	0.0008	0.0560	0.0004	0.0476	-0.2591	0.2598
0.13	7.0	40	0.0531	0.0003	0.0103	0.0009	0.0592	0.0006	0.0492	-0.3074	0.3064	0.0532	0.0003	0.0097	0.0009	0.0587	0.0005	0.0492	-0.3001	0.2996
0.13	7.0	60	0.0706	0.0007	0.0216	0.0021	0.0899	0.0023	0.0661	-0.5775	0.5679	0.0720	0.0007	0.0310	0.0033	0.0977	0.0043	0.0697	-0.6029	0.6176
0.13	13.0	0	0.0552	0.0005	0.0192	0.0008	0.0766	0.0013	0.0522	-0.2786	0.2799	0.0545	0.0005	0.0200	0.0008	0.0782	0.0013	0.0518	-0.2786	0.2846
0.13	13.0	20	0.0551	0.0005	0.0188	0.0008	0.0769	0.0013	0.0519	-0.2900	0.2896	0.0547	0.0005	0.0204	0.0008	0.0788	0.0014	0.0521	-0.2896	0.2861
0.13	13.0	40	0.0572	0.0006	0.0183	0.0009	0.0798	0.0014	0.0532	-0.3330	0.3353	0.0570	0.0006	0.0182	0.0009	0.0818	0.0016	0.0529	-0.3306	0.3277
0.13	13.0	60	0.0763	0.0009	0.0192	0.0015	0.1003	0.0023	0.0684	-0.7751	0.8128	0.0755	0.0010	0.0176	0.0013	0.1020	0.0023	0.0662	-0.7791	0.9208
0.13	20.0	0	0.0612	0.0008	0.0162	0.0005	0.0929	0.0014	0.0545	-0.3091	0.3155	0.0620	0.0008	0.0157	0.0005	0.0906	0.0012	0.0548	-0.3103	0.3143
0.13	20.0	20	0.0614	0.0008	0.0158	0.0005	0.0910	0.0013	0.0545	-0.3148	0.3139	0.0607	0.0008	0.0162	0.0006	0.0920	0.0015	0.0542	-0.3153	0.3120
0.13	20.0	40	0.0636	0.0009	0.0153	0.0007	0.0924	0.0016	0.0556	-0.3447	0.3383	0.0629	0.0008	0.0162	0.0007	0.0926	0.0017	0.0558	-0.3298	0.3412
0.13	20.0	60	0.0726	0.0009	0.0178	0.0013	0.0939	0.0020	0.0645	-4.2512	0.6300	0.0727	0.0008	0.0187	0.0011	0.0964	0.0017	0.0662	-0.4933	12.1336
0.13	30.0	0	0.0709	0.0011	0.0116	0.0004	0.0984	0.0012	0.0564	-0.3516	0.3483	0.0707	0.0011	0.0125	0.0005	0.0998	0.0013	0.0573	-0.3502	0.3462
0.13	30.0	20	0.0708	0.0011	0.0111	0.0004	0.0983	0.0012	0.0558	-0.3344	0.3388	0.0695	0.0011	0.0114	0.0004	0.0976	0.0012	0.0553	-0.3359	0.3349
0.13	30.0	40	0.0713	0.0011	0.0133	0.0007	0.1011	0.0019	0.0585	-0.3267	0.3296	0.0703	0.0012	0.0109	0.0006	0.0983	0.0017	0.0552	-0.3114	0.3555
0.13	30.0	60	0.0727	0.0008	0.0119	0.0026	0.0908	0.0018	0.0582	-7.0888	8.8569	0.0739	0.0006	0.0002	0.0000	0.0936	0.0012	0.0010	-6.8883	25.7686
0.2	7.0	0	0.0744	0.0004	0.0136	0.0013	0.0805	0.0006	0.0699	-0.3630	0.3580	0.0755	0.0004	0.0118	0.0013	0.0807	0.0006	0.0707	-0.3604	0.3613
0.2	7.0	20	0.0767	0.0004	0.0144	0.0018	0.0822	0.0007	0.0727	-0.3686	0.3715	0.0763	0.0004	0.0173	0.0017	0.0836	0.0008	0.0724	-0.3744	0.3754
0.2	7.0	40	0.0797	0.0005	0.0181	0.0021	0.0880	0.0010	0.0754	-0.4254	0.4288	0.0787	0.0005	0.0168	0.0016	0.0881	0.0009	0.0735	-0.4199	0.4200
0.2	7.0	60	0.1050	0.0011	0.0433	0.0037	0.1484	0.0058	0.1011	-0.6724	0.6947	0.1081	0.0011	0.0416	0.0036	0.1459	0.0048	0.1034	-0.7045	0.7043
0.2	13.0	0	0.0816	0.0007	0.0250	0.0010	0.1117	0.0016	0.0759	-0.3932	0.3962	0.0812	0.0007	0.0282	0.0011	0.1140	0.0018	0.0767	-0.3925	0.4024
0.2	13.0	20	0.0818	0.0008	0.0262	0.0012	0.1129	0.0018	0.0765	-0.4054	0.4052	0.0810	0.0007	0.0296	0.0012	0.1167	0.0020	0.0769	-0.4068	0.4018
0.2	13.0	40	0.0851	0.0008	0.0295	0.0014	0.1212	0.0025	0.0802	-0.4526	0.4563	0.0852	0.0009	0.0313	0.0016	0.1246	0.0030	0.0810	-0.4503	0.4446
0.2	13.0	60	0.1146	0.0016	0.0318	0.0032	0.1537	0.0048	0.1043	-0.8526	0.9001	0.1120	0.0015	0.0288	0.0024	0.1509	0.0039	0.1003	-0.8830	0.9769
0.2	20.0	0	0.0913	0.0012	0.0251	0.0009	0.1397	0.0022	0.0820	-0.4328	0.4366	0.0920	0.0012	0.0230	0.0008	0.1350	0.0019	0.0814	-0.4374	0.4367
0.2	20.0	20	0.0910	0.0012	0.0230	0.0008	0.1367	0.0020	0.0804	-0.4369	0.4340	0.0905	0.0012	0.0217	0.0008	0.1347	0.0019	0.0792	-0.4383	0.4326
0.2	20.0	40	0.0947	0.0013	0.0233	0.0011	0.1405	0.0028	0.0830	-0.4676	0.4626	0.0927	0.0013	0.0252	0.0012	0.1400	0.0029	0.0832	-0.4599	0.4676
0.2	20.0	60	0.1060	0.0014	0.0149	0.0013	0.1291	0.0022	0.0871	-4.2876	0.8161	0.1065	0.0012	0.0279	0.0022	0.1449	0.0031	0.0953	-0.6399	12.1227
0.2	30.0	0	0.1047	0.0016	0.0184	0.0007	0.1494	0.0019	0.0845	-0.4855	0.4765	0.1058	0.0016	0.0186	0.0007	0.1496	0.0020	0.0857	-0.4841	0.4768
0.2	30.0	20	0.1058	0.0017	0.0169	0.0006	0.1477	0.0019	0.0839	-0.4573	0.4711	0.1037	0.0016	0.0181	0.0007	0.1487	0.0020	0.0836	-0.4620	0.4600
0.2	30.0	40	0.1069	0.0017	0.0185	0.0010	0.1492	0.0027	0.0867	-0.4508	0.4566	0.1057	0.0017	0.0169	0.0008	0.1480	0.0024	0.0839	-0.4362	0.4790
0.2	30.0	60	0.1085	0.0015	0.0101	0.0028	0.1364	0.0020	0.0678	-7.0049	8.8568	0.1140	0.0010	0.0106	0.0243	0.1382	0.0036	0.0461	-6.8384	25.7532
