Evento,Detector,X,Y,Z
64,3,-99999,-99999,-99999
65,0,-99999,-99999,-99999
65,1,-99999,-99999,-99999
65,2,-99999,-99999,-99999
65,3,-99999,-99999,-99999
66,0,-99999,-99999,-99999
66,1,-99999,-99999,-99999
66,2,-99999,-99999,-99999
66,3,71.2287,580.86,-203.188
67,0,190.616,350.511,-57.6766
67,1,186.823,420.804,-43.4487
67,2,182.005,510.119,-25.3699
67,3,178.216,580.511,-11.1298
68,0,-141.13,350.807,11.6112
68,1,-132.891,420.133,29.2013
68,2,-122.087,510.904,52.4272
68,3,-113.503,580.904,70.5939
69,0,214.28,350.832,248.335
69,1,-99999,-99999,-99999
69,2,-99999,-99999,-99999
69,3,-99999,-99999,-99999
70,0,-99999,-99999,-99999
70,1,-99999,-99999,-99999
70,2,-99999,-99999,-99999
70,3,-99999,-99999,-99999
71,0,28.2439,350.6,-187.892
71,1,28.0758,420.5,-184.769
71,2,27.8391,510.9,-180.74
71,3,27.6587,580.401,-177.648
72,0,-99999,-99999,-99999
72,1,-99999,-99999,-99999
72,2,-99999,-99999,-99999
72,3,-99999,-99999,-99999
73,0,-99999,-99999,-99999
73,1,-99999,-99999,-99999
73,2,-99999,-99999,-99999
73,3,-99999,-99999,-99999
74,0,-53.7265,350.364,214.412
74,1,-54.0751,420.727,246.703
74,2,-99999,-99999,-99999
74,3,-99999,-99999,-99999
75,0,-99999,-99999,-99999
75,1,-99999,-99999,-99999
75,2,-99999,-99999,-99999
75,3,-99999,-99999,-99999
76,0,60.7645,350.908,45.1184
76,1,66.4743,420.816,74.2192
76,2,73.7881,510.816,111.743
76,3,79.4695,580.908,140.976
77,0,-99999,-99999,-99999
77,1,-99999,-99999,-99999
77,2,-249.646,510.654,186.089
77,3,-209.371,580.723,124.965
78,0,-99999,-99999,-99999
78,1,-99999,-99999,-99999
78,2,-99999,-99999,-99999
78,3,-99999,-99999,-99999
79,0,-99999,-99999,-99999
79,1,-99999,-99999,-99999
79,2,-99999,-99999,-99999
79,3,-99999,-99999,-99999
80,0,-99999,-99999,-99999
80,1,-99999,-99999,-99999
80,2,-99999,-99999,-99999
80,3,-99999,-99999,-99999
81,0,171.088,350.862,-67.0435
81,1,141.187,420.793,-0.365933
81,2,102.644,510.931,85.5801
81,3,72.7118,580.931,152.325
82,0,-97.5664,350.935,-25.2213
82,1,-94.275,420.804,55.6468
82,2,-90.0743,510.673,159.303
82,3,-86.9245,580.934,240.021
83,0,-99999,-99999,-99999
83,1,-99999,-99999,-99999
83,2,-99999,-99999,-99999
83,3,-99999,-99999,-99999
